#スキル系統,最小,最大
毒,1,5
麻痺,1,5
睡眠,1,5
気絶,1,8
風圧,1,4
耐震,1,7
だるま,1,7
対防御DOWN,1,7
攻撃,1,4
防御,1,4
体力,1,8
火耐性,1,6
水耐性,1,6
雷耐性,1,6
氷耐性,1,6
龍耐性,1,6
火属性攻撃,1,7
水属性攻撃,1,7
雷属性攻撃,1,7
氷属性攻撃,1,7
龍属性攻撃,1,7
特殊攻撃,1,4
研ぎ師,1,4
鈍器,1,4
納刀,1,6
装填速度,1,4
精密射撃,1,6
通常弾追加,1,6
貫通弾追加,1,10
散弾追加,1,10
榴弾追加,1,10
拡散弾追加,1,10
減気瓶追加,1,10
爆破瓶追加,1,10
弾薬節約,1,3
達人,1,4
特殊会心,1,3
属性会心,1,3
体術,1,6
気力回復,1,6
回避性能,1,6
ガード性能,1,6
ガード強化,1,4
KO,1,6
減気攻撃,1,6
笛,1,6
砲術,1,6
爆弾強化,1,6
底力,1,6
逆境,1,5
逆上,1,3
窮地,1,3
采配,1,5
号令,1,5
跳躍,1,3
我慢,1,3
ＳＰ延長,1,6
千里眼,1,8
運搬,1,8
加護,1,7
回復量,1,6
回復速度,1,7
広域,1,8
腹減り,1,8
食事,1,4
節食,1,3
肉食,1,3
野草知識,1,8
高速設置,1,8
ハチミツ,1,8
護石王,1,3
